Water Temperature (°C),Total Flow (l/h),Dose (l/h)
15.24,0.3,0.01
15.11,-0.37,0.01
15.24,0.25,0.01
15.19,0.3,0.01
14.89,-0.37,0.01
14.96,0.25,0.01
15.01,0.25,0.01
16.6,0.25,0.01
15.86,0.4,0.01
15.83,0.3,0.01
15.76,0.25,0.01
16.2,0.25,0.01
15.71,0.3,0.01
16.82,0.1,0.01
17.25,0.15,0.01
17.22,0.25,0.01
17.47,0.15,0.01
17.84,0.15,0.01
16.58,0.3,0.01
18.02,0.25,0.01
17.32,0.2,0.01
18.11,0.2,0.01
18.19,0.2,0.01
18.61,0.35,0.01
18.91,0.25,0.01
19.26,0.25,0.01
18.88,0.1,0.01
19.93,0.2,0.01
20.25,0.35,0.01
20.12,0.2,0.01
21.04,0.05,0.01
21.86,0.1,0.01
21.41,0.1,0.01
22.31,0.25,0.01
23.47,0.15,0.01
22.75,0.2,0.01
23.7,0.25,0.01
23.1,0.15,0.01
23.28,0.1,0.01
23.2,0.15,0.01
24.37,0.1,0.01
24.42,0.2,0.01
24.49,0.2,0.01
24.05,0.15,0.01
25.01,0.05,0.01
24.79,0.1,0.01
24.29,0.05,0.01
24.74,0.05,0.01
24.22,0.1,0.01
24.22,0.1,0.01
24.19,0.1,0.01
24.05,0.1,0.01
24.02,0.1,0.01
24,0.15,0.01
23.92,0.15,0.01
23.92,0.15,0.01
23.8,0.15,0.01
24.29,0.15,0.01
24.34,0.15,0.01
24.42,0.15,0.01
24.59,0.1,0.01
24.61,0.15,0.01
24.59,0.15,0.01
24.22,0.15,0.01
24.22,0.15,0.01
24.22,0.15,0.01
24.22,0.15,0.01
24.22,0.15,0.01
24.22,0.1,0.01
24.22,0.15,0.01
24.22,0.15,0.01
24.22,0.15,0.01
24.22,0.1,0.01
24.19,0.1,0.01
24.19,0.1,0.01
24.19,0.1,0.01
24.19,0.1,0.01
23.85,0.2,0.01
23.55,0.05,0.01
24.09,0.15,0.01
23.35,0.25,0.01
23.4,0.05,0.01
24.24,0.1,0.01
24.59,0.15,0.01
25.11,0.05,0.01
24.14,0,0.01
23.05,0.1,0.01
22.61,0.15,0.01
22.66,0.2,0.01
21.99,0.1,0.01
15.53,0.55,0.02
16.82,0.55,0.02
16.28,0.35,0.02
16.77,0.55,0.02
17,0.3,0.02
16.8,0.6,0.02
18.07,0.35,0.02
17.27,0.35,0.02
17.57,0.4,0.02
18.09,0.45,0.02
18.64,0.55,0.02
19.16,0.5,0.02
20.97,0.4,0.02
21.27,0.2,0.02
22.83,0.25,0.02
22.48,0.35,0.02
23.75,0.25,0.02
22.88,0.35,0.02
22.88,0.35,0.02
22.98,0.35,0.02
24.49,0.2,0.02
24.52,0.2,0.02
24.52,0.2,0.02
24.96,0.25,0.02
24.81,0.1,0.02
24,0.2,0.02
23.97,0.2,0.02
23.97,0.2,0.02
23.97,0.2,0.02
23.95,0.2,0.02
23.95,0.2,0.02
23.95,0.2,0.02
23.92,0.2,0.02
23.85,0.3,0.02
23.85,0.3,0.02
23.82,0.3,0.02
23.82,0.3,0.02
25.41,0.2,0.02
24.57,0.2,0.02
24.57,0.2,0.02
24.24,0.2,0.02
24.22,0.2,0.02
24.22,0.25,0.02
24.19,0.25,0.02
24.19,0.25,0.02
24.19,0.25,0.02
24.17,0.3,0.02
24.14,0.3,0.02
24.19,0.2,0.02
23.95,0.25,0.02
23.82,0.35,0.02
24.84,0.15,0.02
24.61,0.2,0.02
24.57,0.25,0.02
24.69,0.25,0.02
23.97,0.25,0.02
24.74,0.1,0.02
24.89,0.1,0.02
24.17,0.2,0.02
23.2,0.25,0.02
22.66,0.2,0.02
23.1,0.15,0.02
22.9,0.35,0.02
22.66,0.25,0.02
22.08,0.25,0.02
16.1,0.7,0.03
16.1,0.7,0.03
16.1,0.7,0.03
16.1,0.7,0.03
16.1,0.7,0.03
16.08,0.7,0.03
16.06,0.7,0.03
16.06,0.7,0.03
16.03,0.7,0.03
16.01,0.7,0.03
15.98,0.7,0.03
15.98,0.7,0.03
15.96,0.7,0.03
15.96,0.7,0.03
15.93,0.7,0.03
15.93,0.7,0.03
15.91,0.7,0.03
15.88,0.7,0.03
15.73,0.74,0.03
15.73,0.74,0.03
15.71,0.74,0.03
15.66,0.7,0.03
15.63,0.7,0.03
15.63,0.7,0.03
15.63,0.7,0.03
15.63,0.7,0.03
15.66,0.7,0.03
16.65,0.7,0.03
16.63,0.7,0.03
16.6,0.7,0.03
16.87,0.7,0.03
16.82,0.7,0.03
16.77,0.7,0.03
16.7,0.7,0.03
16.68,0.7,0.03
15.66,0.7,0.03
15.66,0.7,0.03
15.63,0.7,0.03
15.61,0.7,0.03
15.61,0.7,0.03
15.58,0.7,0.03
15.56,0.7,0.03
15.56,0.7,0.03
15.53,0.7,0.03
15.51,0.7,0.03
15.51,0.7,0.03
15.48,0.7,0.03
15.48,0.7,0.03
15.43,0.7,0.03
15.43,0.7,0.03
15.41,0.7,0.03
15.43,0.7,0.03
16.35,0.7,0.03
15.81,0.7,0.03
15.83,0.7,0.03
15.83,0.7,0.03
15.83,0.7,0.03
16.7,0.7,0.03
16.7,0.7,0.03
16.68,0.7,0.03
16.65,0.7,0.03
16.25,0.7,0.03
16.23,0.7,0.03
16.2,0.7,0.03
16.2,0.7,0.03
16.18,0.7,0.03
16.15,0.7,0.03
16.15,0.7,0.03
16.13,0.7,0.03
16.1,0.7,0.03
16.08,0.7,0.03
16.95,0.7,0.03
16.9,0.7,0.03
16.82,0.7,0.03
16.77,0.7,0.03
16.73,0.7,0.03
16.6,0.7,0.03
16.58,0.7,0.03
16.55,0.7,0.03
16.55,0.7,0.03
16.53,0.7,0.03
16.5,0.7,0.03
16.48,0.7,0.03
16.48,0.7,0.03
16.45,0.7,0.03
16.43,0.7,0.03
16.4,0.7,0.03
16.25,0.7,0.03
16.25,0.7,0.03
16.25,0.7,0.03
16.25,0.7,0.03
16.25,0.7,0.03
16.25,0.7,0.03
16.25,0.7,0.03
16.23,0.7,0.03
16.23,0.7,0.03
16.23,0.7,0.03
15.51,0.74,0.03
15.48,0.74,0.03
15.48,0.74,0.03
15.46,0.74,0.03
16.2,0.7,0.03
16.15,0.7,0.03
16.13,0.7,0.03
16.1,0.7,0.03
16.1,0.7,0.03
16.08,0.7,0.03
16.06,0.7,0.03
16.06,0.7,0.03
15.66,0.74,0.03
15.66,0.74,0.03
15.66,0.74,0.03
15.63,0.74,0.03
15.63,0.74,0.03
15.61,0.74,0.03
15.58,0.74,0.03
15.88,0.7,0.03
15.86,0.7,0.03
15.83,0.7,0.03
15.83,0.7,0.03
15.81,0.7,0.03
16.9,0.7,0.03
16.85,0.7,0.03
16.82,0.7,0.03
16.77,0.7,0.03
16.7,0.7,0.03
16.68,0.7,0.03
16.65,0.7,0.03
15.58,0.74,0.03
15.58,0.74,0.03
15.56,0.74,0.03
15.56,0.74,0.03
15.56,0.74,0.03
15.56,0.74,0.03
15.56,0.74,0.03
15.56,0.74,0.03
15.58,0.7,0.03
15.58,0.7,0.03
15.58,0.7,0.03
15.58,0.7,0.03
15.58,0.7,0.03
15.56,0.7,0.03
15.56,0.7,0.03
16.73,0.7,0.03
16.7,0.7,0.03
16.65,0.7,0.03
16.63,0.7,0.03
16.63,0.7,0.03
16.6,0.7,0.03
16.58,0.7,0.03
15.93,0.7,0.03
15.93,0.7,0.03
15.93,0.7,0.03
15.96,0.7,0.03
15.96,0.7,0.03
16.87,0.65,0.03
16.85,0.65,0.03
16.85,0.65,0.03
16.82,0.65,0.03
15.86,0.7,0.03
15.86,0.7,0.03
15.86,0.7,0.03
15.86,0.7,0.03
15.83,0.7,0.03
15.81,0.7,0.03
15.81,0.7,0.03
15.78,0.7,0.03
17.05,0.65,0.03
16.13,0.7,0.03
16.13,0.7,0.03
16.1,0.7,0.03
16.1,0.7,0.03
16.1,0.7,0.03
16.08,0.7,0.03
16.08,0.7,0.03
16.06,0.7,0.03
16.03,0.7,0.03
16.01,0.7,0.03
15.83,0.74,0.03
15.78,0.74,0.03
15.73,0.74,0.03
15.73,0.74,0.03
15.71,0.74,0.03
16.4,0.7,0.03
16.4,0.7,0.03
16.68,0.7,0.03
16.68,0.7,0.03
16.65,0.7,0.03
16.63,0.7,0.03
16.6,0.7,0.03
16.58,0.7,0.03
16.53,0.7,0.03
16.5,0.7,0.03
16.48,0.7,0.03
16.45,0.7,0.03
16.15,0.7,0.03
16.15,0.7,0.03
16.13,0.7,0.03
16.13,0.7,0.03
16.1,0.7,0.03
16.1,0.7,0.03
16.08,0.7,0.03
16.06,0.7,0.03
16.03,0.7,0.03
16.03,0.7,0.03
16.01,0.7,0.03
15.98,0.7,0.03
15.96,0.7,0.03
16.28,0.7,0.03
16.28,0.7,0.03
16.28,0.7,0.03
16.28,0.7,0.03
15.88,0.74,0.03
15.86,0.74,0.03
15.96,0.7,0.03
15.93,0.7,0.03
15.91,0.7,0.03
15.91,0.7,0.03
15.88,0.7,0.03
15.88,0.7,0.03
15.88,0.7,0.03
15.86,0.7,0.03
15.86,0.7,0.03
15.86,0.7,0.03
15.86,0.7,0.03
15.86,0.7,0.03
16.68,0.7,0.03
16.68,0.7,0.03
16.65,0.7,0.03
16.65,0.7,0.03
16.63,0.7,0.03
16.63,0.7,0.03
16.3,0.6,0.03
17.3,0.65,0.03
17.35,0.65,0.03
17.1,0.55,0.03
17.67,0.45,0.03
17.15,0.65,0.03
18.16,0.4,0.03
17.02,0.4,0.03
17.89,0.5,0.03
18.26,0.5,0.03
18.44,0.45,0.03
22.04,0.5,0.03
21.12,0.5,0.03
21.12,0.5,0.03
21.09,0.5,0.03
21.09,0.5,0.03
21.12,0.5,0.03
21.14,0.5,0.03
21.17,0.5,0.03
21.29,0.5,0.03
21.29,0.45,0.03
21.76,0.4,0.03
22.23,0.4,0.03
23.1,0.5,0.03
21.81,0.3,0.03
23.82,0.45,0.03
22.98,0.45,0.03
23.1,0.4,0.03
22.78,0.5,0.03
23.8,0.35,0.03
23.95,0.35,0.03
23.55,0.4,0.03
24.49,0.5,0.03
23.38,0.45,0.03
24.07,0.45,0.03
23.82,0.4,0.03
25.26,0.3,0.03
25.21,0.3,0.03
25.19,0.3,0.03
25.16,0.3,0.03
25.14,0.3,0.03
25.11,0.35,0.03
24.94,0.3,0.03
24.91,0.3,0.03
24.86,0.3,0.03
24.84,0.35,0.03
24.79,0.35,0.03
25.01,0.4,0.03
24.67,0.4,0.03
24.64,0.4,0.03
24.64,0.4,0.03
24.61,0.4,0.03
24.59,0.4,0.03
24.57,0.4,0.03
24.54,0.4,0.03
24.54,0.4,0.03
25.06,0.4,0.03
25.06,0.4,0.03
25.04,0.4,0.03
25.01,0.4,0.03
24.99,0.4,0.03
24.99,0.4,0.03
24.96,0.4,0.03
24.81,0.4,0.03
24.27,0.35,0.03
24.24,0.3,0.03
24.24,0.3,0.03
23.9,0.4,0.03
23.9,0.4,0.03
23.9,0.4,0.03
23.9,0.35,0.03
23.9,0.4,0.03
24.09,0.4,0.03
23.87,0.4,0.03
23.85,0.4,0.03
23.85,0.35,0.03
23.85,0.35,0.03
24.19,0.35,0.03
24.19,0.3,0.03
24.19,0.3,0.03
24.17,0.35,0.03
24.17,0.35,0.03
24.17,0.35,0.03
24.14,0.35,0.03
24.14,0.3,0.03
24.14,0.4,0.03
23.4,0.3,0.03
23.35,0.5,0.03
24.12,0.25,0.03
23.55,0.45,0.03
23.87,0.4,0.03
24.67,0.3,0.03
23.97,0.45,0.03
24.74,0.45,0.03
24.39,0.4,0.03
22.53,0.45,0.03
22.38,0.4,0.03
22.13,0.25,0.03
16.25,0.79,0.04
16.23,0.74,0.04
16.2,0.74,0.04
16.18,0.74,0.04
16.15,0.74,0.04
16.13,0.74,0.04
16.1,0.74,0.04
16.08,0.74,0.04
16.06,0.74,0.04
16.01,0.74,0.04
15.98,0.74,0.04
15.96,0.74,0.04
15.93,0.84,0.04
15.91,0.84,0.04
15.88,0.84,0.04
15.86,0.84,0.04
15.83,0.84,0.04
15.83,0.79,0.04
15.81,0.79,0.04
15.81,0.79,0.04
16.85,0.89,0.04
16.8,0.89,0.04
16.77,0.89,0.04
16.73,0.89,0.04
16.7,0.89,0.04
16.65,0.89,0.04
16.63,0.89,0.04
16.6,0.89,0.04
16.55,0.89,0.04
16.53,0.89,0.04
16.3,0.74,0.04
16.25,0.74,0.04
16.23,0.74,0.04
16.2,0.74,0.04
15.83,0.79,0.04
15.81,0.79,0.04
15.81,0.79,0.04
15.78,0.79,0.04
15.78,0.79,0.04
15.76,0.79,0.04
15.73,0.79,0.04
15.73,0.79,0.04
15.71,0.79,0.04
15.68,0.79,0.04
15.68,0.79,0.04
15.66,0.79,0.04
15.36,0.79,0.04
15.34,0.79,0.04
16.8,0.74,0.04
16.77,0.74,0.04
16.65,0.79,0.04
16.65,0.79,0.04
16.63,0.84,0.04
16.55,0.79,0.04
16.53,0.79,0.04
16.48,0.79,0.04
16.45,0.79,0.04
16.43,0.79,0.04
16.33,0.74,0.04
16.33,0.74,0.04
16.3,0.74,0.04
16.3,0.74,0.04
16.3,0.74,0.04
16.28,0.74,0.04
16.28,0.74,0.04
16.28,0.74,0.04
16.28,0.84,0.04
16.25,0.79,0.04
16.25,0.79,0.04
16.25,0.79,0.04
16.23,0.79,0.04
16.23,0.79,0.04
16.2,0.79,0.04
16.2,0.79,0.04
16.18,0.79,0.04
16.15,0.79,0.04
16.15,0.79,0.04
16.13,0.79,0.04
16.1,0.89,0.04
16.08,0.89,0.04
16.08,0.89,0.04
16.08,0.89,0.04
16.13,0.74,0.04
16.13,0.74,0.04
16.13,0.74,0.04
16.1,0.74,0.04
15.88,0.79,0.04
15.88,0.79,0.04
15.86,0.79,0.04
15.86,0.79,0.04
15.86,0.79,0.04
15.83,0.79,0.04
15.83,0.79,0.04
15.81,0.79,0.04
17.25,0.84,0.04
17.47,0.74,0.04
17.42,0.74,0.04
17.37,0.74,0.04
17.02,0.74,0.04
16.97,0.74,0.04
16.95,0.74,0.04
16.92,0.74,0.04
16.87,0.74,0.04
16.85,0.74,0.04
16.82,0.74,0.04
16.28,0.79,0.04
16.25,0.79,0.04
16.23,0.79,0.04
16.23,0.79,0.04
16.2,0.79,0.04
16.18,0.79,0.04
16.18,0.79,0.04
16.15,0.79,0.04
16.13,0.79,0.04
16.13,0.79,0.04
16.1,0.79,0.04
16.08,0.79,0.04
16.06,0.79,0.04
15.71,0.84,0.04
15.68,0.84,0.04
15.66,0.84,0.04
15.66,0.84,0.04
15.66,0.84,0.04
15.66,0.84,0.04
15.71,0.94,0.04
15.73,0.74,0.04
15.73,0.74,0.04
15.73,0.74,0.04
16.48,0.74,0.04
16.45,0.74,0.04
16.43,0.74,0.04
16.4,0.74,0.04
16.38,0.74,0.04
16.82,0.74,0.04
16.8,0.74,0.04
16.75,0.74,0.04
16.73,0.74,0.04
16.7,0.74,0.04
16.68,0.79,0.04
16.6,0.79,0.04
16.63,0.79,0.04
16.63,0.84,0.04
16.6,0.84,0.04
16.58,0.84,0.04
16.55,0.84,0.04
16.53,0.84,0.04
16.5,0.84,0.04
16.48,0.84,0.04
16.45,0.84,0.04
16.4,0.84,0.04
16.38,0.84,0.04
16.35,0.84,0.04
16.18,0.89,0.04
16.15,0.89,0.04
16.15,0.89,0.04
16.13,0.89,0.04
16.1,0.89,0.04
16.08,0.89,0.04
16.06,0.89,0.04
16.06,0.89,0.04
16.03,0.89,0.04
16.43,0.74,0.04
16.43,0.74,0.04
16.4,0.74,0.04
16.4,0.74,0.04
16.38,0.74,0.04
16.38,0.74,0.04
16.35,0.74,0.04
16.33,0.89,0.04
16.3,0.89,0.04
16.3,0.89,0.04
16.3,0.89,0.04
16.33,0.89,0.04
16.33,0.89,0.04
16.35,0.89,0.04
16.35,0.89,0.04
16.38,0.89,0.04
16.38,0.89,0.04
16.4,0.89,0.04
16.4,0.89,0.04
16.87,0.84,0.04
17.52,0.84,0.04
16.87,0.7,0.04
16.8,0.7,0.04
16.75,0.7,0.04
16.23,0.79,0.04
16.23,0.79,0.04
16.2,0.79,0.04
16.18,0.79,0.04
16.15,0.79,0.04
16.13,0.79,0.04
16.1,0.79,0.04
16.08,0.79,0.04
16.06,0.79,0.04
16.03,0.79,0.04
16.01,0.79,0.04
15.98,0.79,0.04
15.73,0.84,0.04
15.73,0.84,0.04
15.71,0.84,0.04
15.68,0.84,0.04
15.68,0.84,0.04
15.68,0.84,0.04
15.68,0.84,0.04
17.15,0.74,0.04
17.15,0.74,0.04
17.12,0.74,0.04
17.12,0.74,0.04
17.02,0.79,0.04
17,0.79,0.04
16.97,0.79,0.04
16.95,0.79,0.04
16.92,0.79,0.04
16.85,0.84,0.04
16.82,0.84,0.04
16.8,0.84,0.04
16.8,0.74,0.04
16.77,0.74,0.04
16.68,0.74,0.04
16.65,0.74,0.04
16.6,0.74,0.04
16.58,0.74,0.04
16.55,0.74,0.04
16.53,0.74,0.04
16.5,0.89,0.04
16.43,0.74,0.04
16.43,0.74,0.04
16.4,0.74,0.04
16.38,0.74,0.04
16.35,0.74,0.04
16.92,0.74,0.04
16.9,0.74,0.04
16.85,0.79,0.04
16.85,0.79,0.04
16.85,0.79,0.04
16.82,0.79,0.04
17.15,0.74,0.04
17.12,0.74,0.04
17.1,0.74,0.04
17.07,0.74,0.04
17.02,0.74,0.04
17,0.74,0.04
16.95,0.74,0.04
16.87,0.74,0.04
16.85,0.74,0.04
16.75,0.84,0.04
16.75,0.84,0.04
16.73,0.84,0.04
16.7,0.84,0.04
16.68,0.84,0.04
16.68,0.84,0.04
16.6,0.74,0.04
16.58,0.74,0.04
16.55,0.74,0.04
16.53,0.74,0.04
16.5,0.74,0.04
16.48,0.74,0.04
16.45,0.74,0.04
16.43,0.74,0.04
16.4,0.74,0.04
16.38,0.74,0.04
16.35,0.74,0.04
16.33,0.74,0.04
16.3,0.74,0.04
16.03,0.74,0.04
15.98,0.74,0.04
15.98,0.74,0.04
15.96,0.74,0.04
15.96,0.74,0.04
15.96,0.79,0.04
15.96,0.79,0.04
15.98,0.79,0.04
15.98,0.79,0.04
15.98,0.79,0.04
15.98,0.79,0.04
15.81,0.79,0.04
15.78,0.79,0.04
15.78,0.79,0.04
15.76,0.79,0.04
15.73,0.79,0.04
15.73,0.79,0.04
15.71,0.79,0.04
15.68,0.79,0.04
15.66,0.79,0.04
15.66,0.79,0.04
15.63,0.79,0.04
15.61,0.79,0.04
15.58,0.79,0.04
15.48,0.79,0.04
15.48,0.79,0.04
15.48,0.79,0.04
15.46,0.79,0.04
15.46,0.79,0.04
15.46,0.79,0.04
15.43,0.79,0.04
15.43,0.79,0.04
17.22,0.84,0.04
17.2,0.84,0.04
17.17,0.84,0.04
17.12,0.84,0.04
17.07,0.84,0.04
17.05,0.84,0.04
17,0.84,0.04
16.97,0.84,0.04
16.68,0.79,0.04
16.65,0.79,0.04
16.63,0.79,0.04
16.6,0.79,0.04
16.58,0.79,0.04
16.55,0.79,0.04
16.53,0.79,0.04
16.43,0.74,0.04
16.4,0.74,0.04
17.87,0.74,0.04
17.82,0.74,0.04
16.77,0.74,0.04
16.73,0.74,0.04
16.73,0.74,0.04
16.73,0.74,0.04
16.7,0.74,0.04
16.68,0.74,0.04
16.35,0.74,0.04
16.33,0.74,0.04
16.3,0.74,0.04
16.3,0.74,0.04
16.28,0.74,0.04
16.25,0.74,0.04
16.23,0.74,0.04
16.23,0.74,0.04
16.2,0.74,0.04
16.18,0.74,0.04
16.15,0.74,0.04
16.15,0.74,0.04
15.58,0.79,0.04
15.58,0.79,0.04
15.56,0.79,0.04
15.53,0.79,0.04
15.86,0.79,0.04
15.88,0.79,0.04
15.91,0.79,0.04
16.48,0.74,0.04
16.43,0.79,0.04
16.43,0.79,0.04
16.4,0.79,0.04
16.4,0.79,0.04
16.7,0.7,0.04
16.58,0.74,0.04
16.55,0.74,0.04
16.53,0.74,0.04
16.5,0.74,0.04
16.48,0.74,0.04
16.45,0.74,0.04
16.43,0.74,0.04
16.33,0.74,0.04
16.33,0.74,0.04
16.3,0.74,0.04
16.48,0.89,0.04
16.48,0.89,0.04
16.45,0.74,0.04
16.43,0.74,0.04
16.4,0.74,0.04
16.38,0.74,0.04
16.38,0.74,0.04
16.35,0.74,0.04
16.33,0.74,0.04
16.3,0.74,0.04
16.3,0.74,0.04
16.28,0.74,0.04
16.03,0.79,0.04
16.03,0.79,0.04
16.18,0.84,0.04
16.2,0.84,0.04
16.2,0.84,0.04
16.23,0.89,0.04
16.23,0.89,0.04
16.25,0.89,0.04
16.33,0.89,0.04
16.35,0.89,0.04
17.12,0.84,0.04
17.47,0.79,0.04
17.49,0.79,0.04
17.07,0.7,0.04
17.02,0.7,0.04
16.97,0.7,0.04
16.87,0.7,0.04
16.8,0.7,0.04
16.75,0.7,0.04
16.2,0.79,0.04
16.18,0.79,0.04
16.15,0.79,0.04
16.13,0.79,0.04
16.08,0.79,0.04
16.06,0.79,0.04
15.93,0.74,0.04
15.91,0.74,0.04
15.91,0.74,0.04
15.91,0.74,0.04
15.91,0.74,0.04
15.91,0.74,0.04
15.66,0.79,0.04
15.66,0.79,0.04
15.66,0.79,0.04
15.63,0.79,0.04
15.63,0.79,0.04
15.61,0.79,0.04
15.61,0.79,0.04
15.58,0.79,0.04
15.56,0.79,0.04
15.53,0.79,0.04
15.53,0.84,0.04
15.53,0.94,0.04
17,0.74,0.04
17,0.74,0.04
17,0.74,0.04
16.95,0.74,0.04
16.92,0.74,0.04
16.9,0.74,0.04
16.87,0.74,0.04
16.85,0.74,0.04
16.82,0.74,0.04
16.8,0.74,0.04
16.7,0.79,0.04
16.63,0.74,0.04
16.63,0.74,0.04
16.63,0.74,0.04
16.33,0.79,0.04
16.3,0.79,0.04
16.28,0.79,0.04
16.25,0.79,0.04
16.2,0.79,0.04
16.18,0.79,0.04
16.15,0.79,0.04
16.13,0.79,0.04
16.1,0.79,0.04
16.13,0.74,0.04
16.1,0.74,0.04
16.08,0.74,0.04
16.06,0.74,0.04
16.03,0.74,0.04
16.01,0.74,0.04
15.98,0.74,0.04
15.96,0.74,0.04
17.12,0.74,0.04
17.07,0.79,0.04
17.05,0.79,0.04
16.97,0.79,0.04
16.97,0.79,0.04
17.27,0.7,0.04
17.22,0.7,0.04
17.2,0.7,0.04
17.15,0.7,0.04
17.1,0.7,0.04
17.07,0.7,0.04
17.02,0.74,0.04
16.97,0.74,0.04
16.95,0.74,0.04
16.9,0.74,0.04
16.85,0.74,0.04
16.82,0.74,0.04
16.77,0.74,0.04
16.75,0.74,0.04
16.7,0.74,0.04
16.65,0.74,0.04
16.63,0.74,0.04
16.58,0.74,0.04
16.23,0.74,0.04
16.23,0.74,0.04
16.2,0.74,0.04
16.2,0.74,0.04
16.18,0.74,0.04
16.15,0.74,0.04
16.13,0.74,0.04
16.1,0.74,0.04
16.01,0.84,0.04
15.98,0.84,0.04
15.98,0.84,0.04
15.96,0.84,0.04
15.96,0.84,0.04
15.96,0.84,0.04
15.96,0.84,0.04
15.96,0.84,0.04
15.96,0.84,0.04
15.88,0.79,0.04
15.88,0.79,0.04
15.88,0.79,0.04
15.86,0.79,0.04
15.86,0.79,0.04
15.83,0.79,0.04
15.83,0.79,0.04
15.83,0.79,0.04
15.81,0.79,0.04
15.81,0.79,0.04
15.78,0.79,0.04
15.78,0.79,0.04
15.76,0.79,0.04
15.46,0.94,0.04
16.68,0.79,0.04
16.68,0.79,0.04
16.68,0.79,0.04
16.68,0.79,0.04
16.68,0.84,0.04
16.65,0.84,0.04
16.65,0.84,0.04
16.65,0.84,0.04
16.63,0.84,0.04
16.6,0.84,0.04
16.6,0.84,0.04
16.58,0.84,0.04
16.55,0.84,0.04
16.53,0.84,0.04
16.5,0.84,0.04
16.48,0.84,0.04
16.48,0.84,0.04
16.45,0.84,0.04
16.43,0.84,0.04
16.4,0.84,0.04
16.38,0.84,0.04
16.35,0.84,0.04
16.33,0.84,0.04
16.33,0.84,0.04
16.3,0.84,0.04
16.43,0.74,0.04
16.43,0.74,0.04
16.43,0.74,0.04
16.4,0.74,0.04
16.38,0.74,0.04
16.35,0.84,0.04
16.33,0.84,0.04
16.33,0.84,0.04
16.3,0.84,0.04
16.28,0.84,0.04
16.28,0.84,0.04
16.25,0.84,0.04
16.23,0.84,0.04
16.23,0.84,0.04
16.2,0.84,0.04
16.2,0.84,0.04
16.15,0.89,0.04
16.13,0.89,0.04
16.13,0.89,0.04
16.1,0.89,0.04
16.08,0.89,0.04
17.3,0.79,0.04
17.27,0.79,0.04
17.22,0.79,0.04
17.2,0.79,0.04
17.15,0.79,0.04
17.12,0.79,0.04
17.07,0.79,0.04
17.05,0.79,0.04
16.01,0.74,0.04
16.03,0.74,0.04
16.03,0.74,0.04
16.03,0.74,0.04
16.01,0.74,0.04
16.01,0.74,0.04
16.01,0.74,0.04
15.98,0.74,0.04
15.98,0.74,0.04
15.63,0.74,0.04
15.61,0.74,0.04
15.61,0.74,0.04
15.61,0.74,0.04
15.58,0.84,0.04
17.1,0.7,0.04
17.07,0.7,0.04
16.95,0.74,0.04
16.9,0.74,0.04
16.87,0.74,0.04
16.82,0.74,0.04
16.8,0.74,0.04
16.68,0.74,0.04
16.68,0.74,0.04
16.68,0.74,0.04
16.5,0.74,0.04
16.48,0.74,0.04
16.45,0.74,0.04
16.43,0.74,0.04
16.4,0.74,0.04
16.38,0.74,0.04
16.35,0.74,0.04
16.33,0.74,0.04
16.28,0.74,0.04
16.25,0.74,0.04
16.23,0.74,0.04
16.2,0.74,0.04
16.15,0.74,0.04
16.15,0.74,0.04
16.13,0.79,0.04
16.1,0.79,0.04
16.08,0.79,0.04
16.08,0.79,0.04
16.06,0.79,0.04
16.03,0.79,0.04
16.03,0.79,0.04
16.01,0.79,0.04
16.01,0.79,0.04
15.98,0.89,0.04
16.01,0.89,0.04
16.01,0.89,0.04
16.03,0.89,0.04
16.15,0.84,0.04
16.18,0.84,0.04
16.18,0.84,0.04
16.18,0.84,0.04
16.15,0.84,0.04
16.15,0.84,0.04
16.1,0.89,0.04
16.1,0.89,0.04
16.08,0.89,0.04
16.06,0.89,0.04
16.06,0.89,0.04
16.03,0.89,0.04
16.01,0.89,0.04
15.98,0.89,0.04
15.98,0.89,0.04
15.96,0.89,0.04
15.93,0.89,0.04
15.91,0.89,0.04
16.6,0.84,0.04
16.6,0.84,0.04
16.63,0.84,0.04
16.75,0.7,0.04
16.73,0.7,0.04
16.58,0.74,0.04
16.55,0.74,0.04
16.53,0.74,0.04
16.5,0.74,0.04
16.48,0.74,0.04
16.48,0.74,0.04
16.45,0.74,0.04
16.43,0.74,0.04
16.4,0.74,0.04
16.38,0.74,0.04
16.35,0.74,0.04
16.33,0.74,0.04
16.3,0.7,0.04
16.23,0.79,0.04
16.18,0.79,0.04
16.18,0.79,0.04
16.15,0.79,0.04
16.15,0.79,0.04
16.13,0.79,0.04
16.13,0.79,0.04
16.13,0.79,0.04
16.1,0.79,0.04
16.1,0.79,0.04
16.1,0.79,0.04
16.1,0.79,0.04
16.1,0.79,0.04
16.1,0.79,0.04
16.08,0.79,0.04
16.08,0.79,0.04
16.06,0.79,0.04
15.81,0.79,0.04
15.81,0.79,0.04
15.81,0.79,0.04
15.78,0.79,0.04
15.78,0.79,0.04
15.76,0.79,0.04
15.76,0.79,0.04
15.73,0.79,0.04
15.73,0.79,0.04
15.71,0.79,0.04
15.71,0.79,0.04
15.68,0.79,0.04
15.68,0.79,0.04
15.56,0.74,0.04
15.53,0.74,0.04
15.56,0.74,0.04
15.56,0.74,0.04
17,0.79,0.04
17.02,0.74,0.04
17.02,0.74,0.04
17,0.74,0.04
17,0.74,0.04
16.97,0.74,0.04
16.85,0.79,0.04
16.68,0.7,0.04
16.53,0.79,0.04
16.53,0.79,0.04
